gene_name	gene_id	spot_id	x	y	z	plane_id	neighbour	neighbour_array	neighbour_prob	omp_score
Cnr1	50	1357	104.009	22.005	76.98329162597656	76	3	[3, 4, 10, 11, 2, 9, 0]	[0.914, 0.086, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1358	154.057	28.79	78.37126922607422	78	4	[4, 5, 12, 11, 6, 13, 0]	[0.662, 0.327, 0.01, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1359	127.083	10.336	57.244110107421875	57	4	[4, 3, 5, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1360	113.391	12.219	81.91838073730469	81	4	[4, 3, 10, 11, 5, 0, 2]	[0.976, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1361	119.561	27.638	52.4688835144043	52	4	[4, 11, 3, 10, 5, 12, 0]	[0.995, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1362	109.584	36.491	72.97689819335938	72	4	[4, 3, 10, 11, 12, 5, 0]	[0.833, 0.143, 0.021, 0.003, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1363	116.512	9.878	51.56010818481445	51	4	[4, 3, 11, 5, 10, 0, 2]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1364	114.937	0.199	36.066864013671875	36	4	[4, 3, 11, 5, 0, 10, 2]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1365	137.875	11.007	62.98693084716797	62	4	[4, 5, 11, 3, 12, 6, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1366	132.174	22.439	72.73088836669922	72	4	[4, 5, 11, 3, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1367	103.876	34.063	73.6014175415039	73	3	[3, 4, 10, 11, 9, 2, 0]	[0.879, 0.097, 0.023, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1368	106.184	20.393	80.66709899902344	80	3	[3, 4, 10, 11, 2, 5, 0]	[0.761, 0.239, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1369	131.826	6.154	66.2367172241211	66	4	[4, 5, 3, 11, 12, 0, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1370	101.69	29.957	101.66323852539062	101	3	[3, 4, 10, 11, 0, 9, 2]	[0.997, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1371	139.413	7.603	45.33516311645508	45	4	[4, 5, 11, 12, 3, 0, 6]	[0.989, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1372	133.142	6.111	58.868988037109375	58	4	[4, 5, 3, 11, 12, 0, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1373	154.408	22.154	59.98199462890625	59	5	[5, 4, 12, 11, 6, 13, 0]	[0.954, 0.046, 0.001, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1374	139.374	22.561	55.62580490112305	55	4	[4, 5, 11, 12, 3, 10, 0]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1375	100.393	15.911	56.79900360107422	56	3	[3, 4, 10, 11, 2, 0, 9]	[0.965, 0.035, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1376	118.539	35.75	50.94350051879883	50	11	[11, 4, 3, 10, 12, 5, 0]	[0.667, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1377	160.714	17.033	69.50019073486328	69	5	[5, 4, 6, 12, 11, 13, 0]	[0.996, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1378	131.981	15.289	70.94422912597656	70	4	[4, 5, 3, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1379	125.359	14.502	52.11971664428711	52	4	[4, 3, 11, 5, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1380	119.224	15.863	79.00984191894531	79	4	[4, 3, 11, 10, 5, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1381	140.242	46.243	67.44064331054688	67	11	[11, 12, 4, 5, 19, 10, 0]	[0.841, 0.111, 0.048, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1382	126.506	11.23	61.17668533325195	61	4	[4, 3, 5, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1383	114.915	9.547	75.83135986328125	75	4	[4, 3, 11, 10, 5, 0, 2]	[0.995, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1384	141.834	21.869	55.66032028198242	55	4	[4, 5, 11, 12, 3, 6, 0]	[0.992, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1385	124.392	3.084	89.41130828857422	89	4	[4, 3, 5, 11, 0, 10, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1386	119.571	21.717	76.99886322021484	76	4	[4, 3, 11, 10, 5, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1387	103.277	41.073	57.680702209472656	57	10	[10, 11, 3, 4, 9, 2, 0]	[0.799, 0.133, 0.054, 0.013, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1388	157.395	66.797	66.43390655517578	66	12	[12, 19, 11, 13, 18, 5, 0]	[0.969, 0.031, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1389	127.875	7.292	65.62229919433594	65	4	[4, 3, 5, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1390	128.649	14.207	93.9498062133789	93	4	[4, 3, 5, 11, 10, 0, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1391	155.3	35.928	83.91642761230469	83	12	[12, 4, 5, 11, 6, 19, 0]	[0.497, 0.359, 0.144, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1392	131.06	11.59	79.91584777832031	79	4	[4, 3, 5, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1393	132.093	45.262	62.574462890625	62	11	[11, 4, 12, 5, 10, 3, 0]	[0.975, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1394	149.932	13.294	79.39773559570312	79	4	[4, 5, 12, 6, 11, 3, 0]	[0.977, 0.023, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1395	117.861	20.558	88.30130767822266	88	4	[4, 3, 10, 11, 5, 0, 12]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1396	180.149	39.616	44.3907585144043	44	12	[12, 13, 5, 6, 19, 20, 0]	[0.798, 0.197, 0.004, 0.001, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1397	123.87	14.658	92.12191772460938	92	4	[4, 3, 5, 11, 10, 0, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1398	108.713	21.476	60.89095687866211	60	4	[4, 3, 11, 10, 5, 2, 0]	[0.89, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1399	112.97	31.368	75.15335083007812	75	4	[4, 3, 10, 11, 5, 12, 0]	[0.98, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1400	130.4	37.571	80.16265869140625	80	4	[4, 11, 12, 3, 5, 10, 0]	[0.999, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1401	132.197	16.018	62.66072463989258	62	4	[4, 5, 11, 3, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1402	107.535	28.892	72.49530792236328	72	4	[4, 3, 10, 11, 2, 5, 0]	[0.597, 0.402, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1403	87.23	9.817	47.922245025634766	47	3	[3, 2, 4, 10, 11, 9, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1404	93.79	1.138	61.36621856689453	61	3	[3, 4, 2, 10, 11, 0, 9]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1405	141.754	17.416	68.88453674316406	68	4	[4, 5, 11, 12, 3, 6, 0]	[0.991, 0.009, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1406	146.832	27.696	82.13052368164062	82	4	[4, 5, 12, 11, 6, 3, 0]	[0.976, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1407	130.214	33.612	58.038414001464844	58	4	[4, 11, 5, 12, 10, 3, 0]	[0.954, 0.046, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1408	126.119	2.517	50.524024963378906	50	4	[4, 5, 3, 11, 0, 12, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1409	108.865	27.5	92.8698959350586	92	4	[4, 3, 10, 11, 0, 5, 2]	[0.873, 0.127, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1410	124.27	16.697	72.76868438720703	72	4	[4, 3, 5, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1411	132.119	20.006	96.28746795654297	96	4	[4, 5, 3, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1412	113.984	31.757	63.42323684692383	63	4	[4, 11, 3, 10, 5, 12, 0]	[0.997, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1413	117.569	36.126	92.7702407836914	92	4	[4, 3, 10, 11, 5, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1414	121.139	25.342	86.00386047363281	86	4	[4, 3, 11, 10, 5, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1415	127.205	41.8	63.70361328125	63	11	[11, 4, 12, 10, 5, 3, 0]	[0.704, 0.296, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1416	134.596	28.675	85.8907699584961	85	4	[4, 5, 11, 3, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1417	108.073	12.334	50.68763732910156	50	4	[4, 3, 11, 10, 5, 2, 0]	[0.99, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1418	128.6	51.736	67.35050201416016	67	11	[11, 4, 12, 10, 5, 18, 0]	[0.999, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1419	128.576	7.644	73.04217529296875	73	4	[4, 5, 3, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1420	121.066	14.256	80.41598510742188	80	4	[4, 3, 5, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1421	129.651	18.321	84.32196044921875	84	4	[4, 5, 3, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Col25a1	52	1422	118.335	0.793	69.77963256835938	69	4	[4, 3, 5, 11, 10, 0, 2]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
